Jan 19, 2018 4:40:57 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/opendaylight/lock
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-01-19 04:41:03,619 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-guava-18 1.8.3-SNAPSHOT
2018-01-19 04:41:03,619 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-triemap-0.2 1.8.3-SNAPSHOT
2018-01-19 04:41:03,620 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-base 2.2.3-SNAPSHOT
2018-01-19 04:41:03,620 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-broker 1.5.3-SNAPSHOT
2018-01-19 04:41:03,620 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-remoterpc-connector 1.5.3-SNAPSHOT
2018-01-19 04:41:03,620 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-broker-local 1.5.3-SNAPSHOT
2018-01-19 04:41:03,621 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-dom-adapter 2.2.3-SNAPSHOT
2018-01-19 04:41:03,621 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-runtime 2.2.3-SNAPSHOT
2018-01-19 04:41:03,621 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-yang-data 1.1.3-SNAPSHOT
2018-01-19 04:41:03,621 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-yang-parser 1.1.3-SNAPSHOT
2018-01-19 04:41:03,622 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-api 2.2.3-SNAPSHOT
2018-01-19 04:41:03,622 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-common 2.2.3-SNAPSHOT
2018-01-19 04:41:03,622 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-dom-api 2.2.3-SNAPSHOT
2018-01-19 04:41:03,623 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-models 0.10.3-SNAPSHOT
2018-01-19 04:41:03,624 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-common 1.5.3-SNAPSHOT
2018-01-19 04:41:03,624 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-api 0.6.3-SNAPSHOT
2018-01-19 04:41:03,624 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-startup 0.6.3-SNAPSHOT
2018-01-19 04:41:03,624 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-persister 0.6.3-SNAPSHOT
2018-01-19 04:41:03,624 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-core 0.6.3-SNAPSHOT
2018-01-19 04:41:03,625 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-manager 0.6.3-SNAPSHOT
2018-01-19 04:41:03,625 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-netty 0.6.3-SNAPSHOT
2018-01-19 04:41:03,625 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-netty-config-api 0.6.3-SNAPSHOT
2018-01-19 04:41:03,625 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netty-4 1.8.3-SNAPSHOT
2018-01-19 04:41:03,626 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-lmax-3 1.8.3-SNAPSHOT
2018-01-19 04:41:03,626 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-dom 2.2.3-SNAPSHOT
2018-01-19 04:41:03,626 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-dom-broker 2.2.3-SNAPSHOT
2018-01-19 04:41:03,627 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-eos-dom 2.2.3-SNAPSHOT
2018-01-19 04:41:03,627 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-eos-common 2.2.3-SNAPSHOT
